nomeCliente,emocaoCliente,statusCliente,valor,foiEmbora,valorTotal,quantidadeClientes
Allan Kuhlman,feliz,sacando,117.41,N,99882.59,10
Allan Kuhlman,feliz,depositando,12612.65,N,112495.23999999999,10
Mrs. Horacio Weissnat,feliz,sacando,9064.88,N,103430.35999999999,10
Mrs. Horacio Weissnat,feliz,depositando,31506.41,N,134936.77,10
Glenn Langosh III,feliz,sacando,8272.66,N,126664.10999999999,10
Glenn Langosh III,feliz,depositando,37056.07,N,163720.18,10
Edison Hagenes DDS,feliz,sacando,10128.8,N,153591.38,10
Edison Hagenes DDS,feliz,depositando,8314.25,N,161905.63,10
Moises Wunsch II,feliz,sacando,7719.19,N,154186.44,10
Moises Wunsch II,feliz,depositando,732.34,N,154918.78,10
Dusti Brakus,feliz,sacando,33669.79,N,121248.98999999999,10
Dusti Brakus,feliz,depositando,22469.95,N,143718.94,10
Carmelo Boyle,feliz,sacando,25983.54,N,117735.4,10
Carmelo Boyle,feliz,depositando,3079.37,N,120814.76999999999,10
Marcelo Lang,feliz,sacando,18156.32,N,102658.44999999998,10
Marcelo Lang,feliz,depositando,18453.97,N,121112.41999999998,10
Marquetta Grimes,feliz,sacando,3628.59,N,117483.82999999999,10
Marquetta Grimes,feliz,depositando,40566.32,N,158050.15,10
Saul Ryan,feliz,sacando,4861.85,N,153188.3,10
Saul Ryan,feliz,depositando,34049.61,N,187237.90999999997,10
Marquetta Grimes,feliz,sacando,1946.8,N,185291.11,10
Marquetta Grimes,feliz,depositando,44965.94,N,230257.05,10
Marcelo Lang,feliz,sacando,1168.49,N,229088.56,10
Marcelo Lang,feliz,depositando,41738.88,N,270827.44,10
Carmelo Boyle,feliz,sacando,48082.12,N,222745.32,10
Carmelo Boyle,feliz,depositando,48159.79,N,270905.11,10
Dusti Brakus,feliz,sacando,10509.7,N,260395.40999999997,10
Dusti Brakus,feliz,depositando,44622.29,N,305017.69999999995,10
Moises Wunsch II,feliz,sacando,42173.91,N,262843.7899999999,10
Moises Wunsch II,feliz,depositando,34348.26,N,297192.04999999993,10
Edison Hagenes DDS,feliz,sacando,34546.56,N,262645.48999999993,10
Edison Hagenes DDS,feliz,depositando,8573.97,N,271219.4599999999,10
