nomeCliente,emocaoCliente,statusCliente,valor,foiEmbora,valorTotal,quantidadeClientes
Gertude King II,feliz,sacando,2148.63,N,7851.37,1000
Gertude King II,feliz,depositando,3854.97,N,11706.34,1000
Loyce Johns,feliz,sacando,2510.65,N,9195.69,1000
Loyce Johns,feliz,depositando,3223.74,N,12419.43,1000
Davis Crist,feliz,sacando,1202.35,N,11217.08,1000
Davis Crist,feliz,depositando,1110.73,N,12327.81,1000
Gigi Fahey Jr.,feliz,sacando,1569.93,N,10757.88,1000
Gigi Fahey Jr.,feliz,depositando,4039.56,N,14797.439999999999,1000
Miss Dorothea Dicki,feliz,sacando,612.83,N,14184.609999999999,1000
Miss Dorothea Dicki,feliz,depositando,1391.13,N,15575.739999999998,1000
Dr. Everett Grady,feliz,sacando,319.19,N,15256.549999999997,1000
Dr. Everett Grady,feliz,depositando,152.54,N,15409.089999999998,1000
Jean Murazik,feliz,sacando,3047.76,N,12361.329999999998,1000
Jean Murazik,feliz,depositando,3577.93,N,15939.259999999998,1000
Miss Carlos Waters,feliz,sacando,1916.81,N,14022.449999999999,1000
Miss Carlos Waters,feliz,depositando,2785.48,N,16807.93,1000
Jonah Kuhlman,feliz,sacando,346.4,N,16461.53,1000
Jonah Kuhlman,feliz,depositando,1558.93,N,18020.46,1000
Quincy Schuster,feliz,sacando,2261.84,N,15758.619999999999,1000
Quincy Schuster,feliz,depositando,913.88,N,16672.5,1000
Georgetta Stark,feliz,sacando,2041.37,N,14631.130000000001,1000
Georgetta Stark,feliz,depositando,1845.74,N,16476.870000000003,1000
Silvana Jenkins,feliz,sacando,2380.56,N,14096.310000000003,1000
Silvana Jenkins,feliz,depositando,1501.83,N,15598.140000000003,1000
Miquel Mosciski DDS,feliz,sacando,1038.54,N,14559.600000000002,1000
Miquel Mosciski DDS,feliz,depositando,2968.62,N,17528.22,1000
Doria Hilpert,feliz,sacando,2676.13,N,14852.09,1000
Doria Hilpert,feliz,depositando,2633.01,N,17485.1,1000
Ike Lebsack,feliz,sacando,338.85,N,17146.25,1000
