nomeCliente,emocaoCliente,statusCliente,valor,foiEmbora,valorTotal,quantidadeClientes
Benny Gleichner,feliz,sacando,13208.39,N,86791.61,100
Benny Gleichner,feliz,depositando,29872.4,N,116664.01000000001,100
Deangelo Dickinson,feliz,sacando,4479.09,N,112184.92000000001,100
Deangelo Dickinson,feliz,depositando,1173.79,N,113358.71,100
Tobi Romaguera,feliz,sacando,1353.3,N,112005.41,100
Tobi Romaguera,feliz,depositando,36549.12,N,148554.53,100
Fredia Hamill,feliz,sacando,24661.22,N,123893.31,100
Fredia Hamill,feliz,depositando,31926.46,N,155819.77,100
Ed Halvorson,feliz,sacando,21052.86,N,134766.90999999997,100
Ed Halvorson,feliz,depositando,15421.91,N,150188.81999999998,100
Carmelita Kshlerin Sr.,feliz,sacando,2079.67,N,148109.14999999997,100
Carmelita Kshlerin Sr.,feliz,depositando,20268.08,N,168377.22999999998,100
Dr. Russell Mitchell,feliz,sacando,17794.47,N,150582.75999999998,100
Dr. Russell Mitchell,feliz,depositando,1568.83,N,152151.58999999997,100
Kenda Treutel,feliz,sacando,19111.05,N,133040.53999999998,100
Kenda Treutel,feliz,depositando,5819.67,N,138860.21,100
Rocco Bradtke,feliz,sacando,19958.59,N,118901.62,100
Rocco Bradtke,feliz,depositando,2644.8,N,121546.42,100
Mayra Baumbach III,feliz,sacando,1423.87,N,120122.55,100
Mayra Baumbach III,feliz,depositando,30525.46,N,150648.01,100
Darrick Towne,feliz,sacando,22082.2,N,128565.81000000001,100
Darrick Towne,feliz,depositando,34826.15,N,163391.96000000002,100
Valarie Haley,feliz,sacando,8700.25,N,154691.71000000002,100
Valarie Haley,feliz,depositando,18083.69,N,172775.40000000002,100
Marcelle Gerlach DVM,feliz,sacando,30400.21,N,142375.19000000003,100
Marcelle Gerlach DVM,feliz,depositando,22648.16,N,165023.35000000003,100
Karren Haley,feliz,sacando,33158.3,N,131865.05000000005,100
Karren Haley,feliz,depositando,20792.88,N,152657.93000000005,100
Sung Sporer IV,feliz,sacando,21061.01,N,131596.92000000004,100
Sung Sporer IV,feliz,depositando,7507.04,N,139103.96000000005,100
Miss Christia O'Hara,feliz,sacando,20619.01,N,118484.95000000006,100
Miss Christia O'Hara,feliz,depositando,18994.75,N,137479.70000000007,100
Shad Bauch,feliz,sacando,1151.32,N,136328.38000000006,100
Shad Bauch,feliz,depositando,24377.31,N,160705.69000000006,100
Randall Dach,feliz,sacando,4360.87,N,156344.82000000007,100
Randall Dach,feliz,depositando,14540.22,N,170885.04000000007,100
Mr. Gavin Barton,feliz,sacando,34018.32,N,136866.72000000006,100
Mr. Gavin Barton,feliz,depositando,25708.12,N,162574.84000000005,100
Mr. Gricelda Ledner,feliz,sacando,14825.9,N,147748.94000000006,100
Mr. Gricelda Ledner,feliz,depositando,13546.67,N,161295.61000000007,100
Isidra Emmerich,feliz,sacando,6539.55,N,154756.06000000008,100
Isidra Emmerich,feliz,depositando,26263.72,N,181019.7800000001,100
Creola Ward III,feliz,sacando,25379.69,N,155640.09000000008,100
Creola Ward III,feliz,depositando,22071.26,N,177711.3500000001,100
Ms. Allyson Hansen,feliz,sacando,7569.59,N,170141.7600000001,100
Ms. Allyson Hansen,feliz,depositando,23205.21,N,193346.9700000001,100
Shemeka Cassin,feliz,sacando,30090.85,N,163256.12000000008,100
Shemeka Cassin,feliz,depositando,952.23,N,164208.3500000001,100
Leopoldo Ebert MD,feliz,sacando,9045.5,N,155162.8500000001,100
Leopoldo Ebert MD,feliz,depositando,21382.17,N,176545.02000000008,100
Lester Price,feliz,sacando,16312.56,N,160232.46000000008,100
Lester Price,feliz,depositando,5143.87,N,165376.33000000007,100
Sheldon Hartmann,feliz,sacando,16425.23,N,148951.10000000006,100
Sheldon Hartmann,feliz,depositando,928.16,N,149879.26000000007,100
Deon Jast,feliz,sacando,29805.86,N,120073.40000000007,100
Deon Jast,feliz,depositando,13221.75,N,133295.15000000008,100
Dorla Blick,feliz,sacando,32283.06,N,101012.09000000008,100
Dorla Blick,feliz,depositando,38158.27,N,139170.36000000007,100
Miss Numbers Wisozk,feliz,sacando,20898.99,N,118271.37000000007,100
Miss Numbers Wisozk,feliz,depositando,15000.87,N,133272.24000000008,100
Kizzie Jakubowski,feliz,sacando,29784.24,N,103488.00000000007,100
Kizzie Jakubowski,feliz,depositando,7492.22,N,110980.22000000007,100
Vernon Kub III,feliz,sacando,11852.93,N,99127.29000000007,100
Vernon Kub III,feliz,depositando,1671.95,N,100799.24000000006,100
Mrs. Angla Pacocha,feliz,sacando,2881.98,N,97917.26000000007,100
Mrs. Angla Pacocha,feliz,depositando,19729.0,N,117646.26000000007,100
Priscilla Pagac,feliz,sacando,8858.92,N,108787.34000000007,100
Priscilla Pagac,feliz,depositando,25021.94,N,133809.28000000006,100
Mrs. Chasidy Hoeger,feliz,sacando,1697.78,N,132111.50000000006,100
Mrs. Chasidy Hoeger,feliz,depositando,19328.9,N,151440.40000000005,100
Jordan Dietrich PhD,feliz,sacando,6664.65,N,144775.75000000006,100
Jordan Dietrich PhD,feliz,depositando,7868.16,N,152643.91000000006,100
Hiedi Williamson,feliz,sacando,24192.34,N,128451.57000000007,100
Hiedi Williamson,feliz,depositando,23013.26,N,151464.83000000007,100
Star Lakin II,feliz,sacando,17115.07,N,134349.76000000007,100
Star Lakin II,feliz,depositando,33215.37,N,167565.13000000006,100
Zina Waters II,feliz,sacando,9925.03,N,157640.10000000006,100
Zina Waters II,feliz,depositando,21724.16,N,179364.26000000007,100
Santo Bahringer,feliz,sacando,4.59,N,179359.67000000007,100
Santo Bahringer,feliz,depositando,14051.87,N,193411.54000000007,100
Lura Boyle,feliz,sacando,27201.08,N,166210.46000000008,100
Lura Boyle,feliz,depositando,34520.4,N,200730.86000000007,100
Lakeesha Kuhlman,feliz,sacando,8700.19,N,192030.67000000007,100
Lakeesha Kuhlman,feliz,depositando,9794.55,N,201825.22000000006,100
Ericka Turner V,feliz,sacando,202.89,N,201622.33000000005,100
Ericka Turner V,feliz,depositando,6318.97,N,207941.30000000005,100
Joycelyn Streich,feliz,sacando,29694.48,N,178246.82000000004,100
Joycelyn Streich,feliz,depositando,6840.64,N,185087.46000000005,100
Lucretia Adams,feliz,sacando,2611.67,N,182475.79000000004,100
Lucretia Adams,feliz,depositando,27474.03,N,209949.82000000004,100
Dr. Jamar Gusikowski,feliz,sacando,7171.34,N,202778.48000000004,100
Dr. Jamar Gusikowski,feliz,depositando,1039.55,N,203818.03000000003,100
Latesha Koelpin,feliz,sacando,23704.62,N,180113.41000000003,100
Latesha Koelpin,feliz,depositando,2561.03,N,182674.44000000003,100
Jarrod Schaden,feliz,sacando,8216.44,N,174458.00000000003,100
Jarrod Schaden,feliz,depositando,39214.06,N,213672.06000000003,100
Eliseo Kutch,feliz,sacando,2002.19,N,211669.87000000002,100
